tempo_replikacji,powinowactwo_ACE3,ladunek_wirusowy,odpornosc_temp,aktywnosc_proteazy,dlugosc_RNA,wskaznik_mutacji,zrodlo_probki
83.00784310729942,7.637624288308593,9.033413810489517,38.65817473941395,,9.460045330219248,3.405311957556082,laboratorium_B
75.63943447762244,7.923711407636174,9.252730716315394,37.89130456397426,240.33195329960003,11.368144715516184,3.347498210611215,laboratorium_B
86.77532021461536,6.231020174530724,8.168488265316265,36.28201738517609,198.68689807563428,9.637142873654824,2.8995358428472753,laboratorium_B
67.30424637100603,7.9653416815654605,8.610006117527774,39.30737273779536,192.78063927193764,10.697861748376198,1.814058922011451,laboratorium_A
81.413054247985,7.1997019026846525,10.14164342221092,35.943789920886964,198.7573672727981,9.78520985509509,3.3514157910266262,laboratorium_B
79.81280053135158,7.956849521297172,9.550790010817398,40.92487092513114,176.0785772014218,10.083337745823536,3.679036533292951,laboratorium_B
81.02441793025127,8.72301360614034,9.490864823329648,41.709664891320145,162.62578342505196,9.044791156331526,,laboratorium_B
87.27127358732747,8.401884554766314,9.644596087364038,37.231485010779366,260.1618018745477,10.118806122132531,3.55058008870021,laboratorium_A
86.5528536218969,8.737545889081732,9.260552066709348,41.20293633231591,198.0242411494359,9.584797093928302,3.097039733607348,laboratorium_A
73.56461228662789,9.04422041132254,9.525218124760553,38.03489333011938,164.73553127072267,11.407901589494275,3.4105849061161204,laboratorium_B
60.20660453456971,8.9492586704257,9.635286477633148,38.23146880532018,219.2293658844079,10.596320772182587,3.76043357923892,laboratorium_B
76.96149960467767,8.366533347282438,9.322662802725587,41.864354600712026,189.04433979603772,9.518480511556447,3.3054798459114836,laboratorium_B
68.70943455846881,8.776985678986318,9.50708061393988,39.31372437786071,193.9392650690878,10.115542074255655,4.072316601891753,laboratorium_A
76.27608186838914,8.53524260021817,9.425207815530168,41.42342234021823,220.18795766144206,10.498471761502422,2.323554156680573,laboratorium_B
59.68150755368627,7.901133982496772,9.21275488328843,38.355248293867476,149.1101731101375,9.697742240135035,5.063314496205658,laboratorium_B
81.87605033696296,8.18386408560097,9.722426179665035,39.89328109850586,181.3188327211633,10.062522595345204,3.7889858025585776,laboratorium_B
79.1600430302361,8.666956183436847,10.533134947338471,38.9929126371458,169.47285635994794,9.22163242856833,3.0994003170375244,laboratorium_B
81.15813820782269,6.489417313534419,10.442258540767824,37.890947188558606,205.42310060449893,10.749309503701022,2.697536469632553,laboratorium_B
88.3747987154072,6.426100508644919,9.878866494446882,35.75334179323312,136.38269458734626,11.701607972154944,4.474694711540671,laboratorium_A
92.4776869408713,8.062151931712963,8.691756662743877,41.77727395594595,,10.538371261459442,3.0040552626441923,laboratorium_A
74.67947949656245,7.444268087965749,10.00864170088442,39.02790528971087,232.83625108346087,9.076897409602749,2.400018325407838,laboratorium_A
90.18996721025118,7.284173117159916,9.571616115635095,39.20966596811901,195.5691295177097,9.299074269164942,,laboratorium_B
77.0430368581206,9.563308817183994,8.67405547806172,35.893808280340515,,9.863330980651563,3.2082818370636743,laboratorium_B
93.89008584855603,7.616386453478715,9.973749236534795,36.343239997895,209.74505608747765,10.284652013740173,,laboratorium_B
80.38151332853184,7.633256595232647,8.845518875454776,37.372269454975516,199.41549106832045,10.620101892377459,3.3981655369504855,laboratorium_B
93.48474280273393,8.058173009623804,9.518151752385053,37.62545681866845,163.0645530663643,10.921736750244438,3.3718586365734877,laboratorium_B
77.61727109261396,9.126190399063686,9.467375671426037,38.93892162412795,,10.080915084936507,4.691036848693642,laboratorium_A
66.27806041375457,8.101918470243488,10.137930908140543,41.44268289569746,183.17809015434526,12.025045970868929,3.5169451499627007,laboratorium_A
88.79618643530027,7.4306926564457125,10.238817162941151,38.2419824432718,225.00335353106584,12.367820557593515,3.8105854176658855,laboratorium_B
99.25167444096328,6.84672698023526,9.042764183825108,42.08172852699884,226.52294725214213,9.27728930133197,4.2137413663096375,laboratorium_B
88.04659550758957,8.360449115808922,10.008678610488394,35.556848396054114,199.58918968005244,8.235606567501632,3.8138224834496857,laboratorium_A
