price,margin_pct,discount_pct,cost,page_views,click_rate,conversion_rate,wishlist_adds,avg_rating,review_count,return_rate,days_in_stock,reorder_count,season,department,w_katalogu
630.4670364169725,0.41462167250861415,0.0,369.06173931621805,3110.989359518875,0.13521236037603168,0.04915440477337306,99.73644021682237,3.668462905814075,365.0,0.21578345115837527,314.0,25.726004816900907,Winter,Dresses,0
379.1588298140392,0.4803155365738869,0.08921056597240679,197.0429530251819,1254.2915295880348,0.10129282683663436,0.025722703416067222,33.72338978106542,3.723532461127102,62.0,0.12378956383611182,18.0,22.373476802281395,Summer,Outerwear,1
693.9484399335369,0.41662789283264556,0.22865919755563233,404.8301636695257,4329.4907571427075,0.10858389081612596,0.07006424573800009,141.87673195976126,3.8213107465739222,232.0,0.12000320516288672,265.0,12.895378001262422,Summer,Dresses,1
573.0260217945229,0.44742323620699403,0.09968437160537802,316.64086469239794,4418.030291654862,0.14682316672724194,0.06820720445675724,191.91626282990723,3.7605472291467557,310.0,0.20916525965194316,102.0,29.233781545840763,Winter,Tops,1
120.63301091573715,0.33896350378461393,0.08368998697597828,79.7428228636513,5927.566217181302,0.1511031730016088,0.06555051107077525,290.80624224896565,3.408810841352048,292.0,0.1970180144233181,236.0,33.58787113092079,Summer,Shoes,0
781.7167637275669,0.5162025923084284,0.254762050921152,378.19254384044166,1650.5000401986108,0.09015125159591647,0.029867754415332824,24.10852942000942,4.335430388687782,473.0,0.1271820035275035,,22.879034775225243,Summer,Outerwear,1
620.8547764927647,0.43574155098722733,0.2572203520761463,350.32255324597907,4386.148521707477,0.1267410655166155,0.05126450065049586,74.00062989498691,4.379653194783719,237.0,0.04055976802742291,210.0,15.771272579058015,Summer,Dresses,1
639.5482289577153,0.4616560281672868,0.19135923777289135,344.29693375567393,6783.261554585149,0.14759399508721419,0.061508357084436166,301.1053552011145,5.0,185.0,0.05940726088583838,143.0,21.384323084716897,Winter,Accessories,1
146.08522450665942,0.3650492393946527,0.11359061327690662,92.75692441370632,2161.927442613791,0.12372000488845407,0.05548613722638522,45.683295568497606,3.377459202548667,472.0,,196.0,12.025410923975892,Winter,Shoes,0
387.7894534216754,0.383494625240857,0.1308423147906941,239.07428230937322,6737.651786844381,0.13248952677053216,0.06401091503529188,119.95806952181034,4.266507107606474,168.0,0.12382737561677425,342.0,33.86497742220428,Winter,Shoes,1
